             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10804756    shared 2e5p1f15 toconno6  R    6:20:21      1 compute0004
          10804757    shared 2e5p1f16 toconno6  R    6:20:21      1 compute0004
          10804758    shared 2e5p1f17 toconno6  R    6:20:21      1 compute0004
          10804759    shared 2e5p1f18 toconno6  R    6:20:21      1 compute0004
          10804760    shared 2e5p1f19 toconno6  R    6:20:21      1 compute0004
          10804761    shared 2e5p1f20 toconno6  R    6:20:21      1 compute0004
          10804762    shared 2e5p1f21 toconno6  R    6:20:21      1 compute0004
          10804763    shared 2e5p1f22 toconno6  R    6:20:21      1 compute0004
          10804764    shared 2e5p1f23 toconno6  R    6:20:21      1 compute0004
          10804753    shared 2e5p1f12 toconno6  R    6:48:01      1 compute0100
          10804754    shared 2e5p1f13 toconno6  R    6:48:01      1 compute0100
          10804755    shared 2e5p1f14 toconno6  R    6:48:01      1 compute0100
